date,long_name,player,notes,injury,team
2009-11-20,Sabres,Toni Lydman,activated from IR,activated from IR,BUF
2009-11-25,Sabres,Mike Grier,activated from IR,activated from IR,BUF
2009-12-13,Sabres,Chris Butler,placed on IR with ankle injury,ll,BUF
2009-12-18,Sabres,Paul Gaustad,activated from IR,activated from IR,BUF
2009-12-27,Sabres,Chris Butler,activated from IR,activated from IR,BUF
2010-11-13,Sabres,Ryan Miller,activated from IR,activated from IR,BUF
2010-11-24,Sabres,Rob Niedermayer,placed on IR recovering from surgery on knee,ul,BUF
2010-12-03,Sabres,Drew Stafford,activated from IR,activated from IR,BUF
2010-12-09,Sabres,Tim Connolly,placed on IR with groin injury,ul,BUF
2010-12-15,Sabres,Rob Niedermayer,activated from IR,activated from IR,BUF
2010-12-15,Sabres,Tim Connolly,activated from IR,activated from IR,BUF
2010-12-24,Sabres,Derek Roy,placed on IR with surgery to repair torn left quadriceps tendon (out for season),ul,BUF
2010-12-27,Sabres,Tim Connolly,placed on IR recovering from surgery to repair broken nose,head,BUF
2010-12-27,Sabres,Shaone Morrisonn,activated from IR,activated from IR,BUF
2011-01-01,Sabres,Tim Connolly,activated from IR,activated from IR,BUF
2011-01-22,Sabres,Patrick Kaleta,placed on IR with fractured left hand,la,BUF
2011-01-22,Sabres,Tim Connolly,placed on IR with hip injury,ul,BUF
2011-02-04,Sabres,Tim Connolly,activated from IR,activated from IR,BUF
2011-02-13,Sabres,Patrick Kaleta,activated from IR,activated from IR,BUF
2011-04-26,Sabres,Derek Roy,activated from IR,activated from IR,BUF
2011-10-29,Sabres,Jochen Hecht,placed on IR with concussion,head,BUF
2011-11-16,Sabres,Tyler Ennis,placed on IR with sprained ankle,ll,BUF
2011-11-17,Sabres,Mike Weber,placed on IR with upper body injury,torso,BUF
2011-11-23,Sabres,Tyler Myers,placed on IR with broken wrist,la,BUF
2011-11-23,Sabres,Jochen Hecht,activated from IR,activated from IR,BUF
2011-11-24,Sabres,Brad Boyes,placed on IR with right knee injury,ul,BUF
2011-11-25,Sabres,Ryan Miller,placed on IR with concussion,head,BUF
2011-11-26,Sabres,Cody McCormick,placed on IR with upper body injury,torso,BUF
2011-12-02,Sabres,Ryan Miller,activated from IR,activated from IR,BUF
2011-12-02,Sabres,Tyler Ennis,activated from IR,activated from IR,BUF
2011-12-07,Sabres,Jordan Leopold,placed on IR with upper body injury,torso,BUF
2011-12-07,Sabres,Cody McCormick,activated from IR,activated from IR,BUF
2011-12-09,Sabres,Patrick Kaleta,placed on IR with groin injury,ul,BUF
2011-12-09,Sabres,Jordan Leopold,activated from IR,activated from IR,BUF
2011-12-10,Sabres,Paul Gaustad,placed on IR with upper body injury,torso,BUF
2011-12-13,Sabres,Nathan Gerbe,placed on IR with concussion,head,BUF
2011-12-13,Sabres,Mike Weber,activated from IR,activated from IR,BUF
2011-12-13,Sabres,Paul Gaustad,activated from IR,activated from IR,BUF
2011-12-16,Sabres,Ville Leino,placed on IR with lower body injury,torso,BUF
2011-12-20,Sabres,Colin Stuart,placed on IR with lower body injury,torso,BUF
2011-12-20,Sabres,Corey Tropp,placed on IR with upper body injury,torso,BUF
2011-12-22,Sabres,Patrick Kaleta,activated from IR,activated from IR,BUF
2011-12-26,Sabres,Brad Boyes,activated from IR,activated from IR,BUF
2011-12-31,Sabres,Andrej Sekera,placed on IR with upper body injury,torso,BUF
2011-12-31,Sabres,Nathan Gerbe,activated from IR,activated from IR,BUF
2012-01-06,Sabres,Tyler Ennis,placed on IR with left ankle injury,ll,BUF
2012-01-06,Sabres,Tyler Myers,activated from IR,activated from IR,BUF
2012-01-07,Sabres,Ville Leino,activated from IR,activated from IR,BUF
2012-01-14,Sabres,Christian Ehrhoff,placed on IR with upper body injury,torso,BUF
2012-01-16,Sabres,Brayden McNabb,placed on IR with concussion,head,BUF
2012-01-16,Sabres,Andrej Sekera,activated from IR,activated from IR,BUF
2012-01-24,Sabres,Jochen Hecht,placed on IR with concussion (out for season),head,BUF
2012-01-24,Sabres,Christian Ehrhoff,activated from IR,activated from IR,BUF
2012-01-31,Sabres,Tyler Ennis,activated from IR,activated from IR,BUF
2012-02-02,Sabres,Brayden McNabb,activated from IR,activated from IR,BUF
2012-02-11,Sabres,T.J. Brennan,activated from IR,activated from IR,BUF
2013-01-18,Sabres,Cody McCormick,placed on IR with finger injury,la,BUF
2013-01-18,Sabres,Nathan Gerbe,placed on IR wtih surgery on back,torso,BUF
2013-01-24,Sabres,Ville Leino,placed on IR with leg injury,ll,BUF
2013-01-24,Sabres,Nathan Gerbe,activated from IR,activated from IR,BUF
2013-02-02,Sabres,Robyn Regehr,placed on IR with lower body injury,torso,BUF
2013-02-02,Sabres,Cody McCormick,activated from IR,activated from IR,BUF
2013-02-05,Sabres,Patrick Kaleta,placed on IR with neck injury,head,BUF
2013-02-09,Sabres,Patrick Kaleta,activated from IR,activated from IR,BUF
2013-02-10,Sabres,Robyn Regehr,activated from IR,activated from IR,BUF
2013-02-24,Sabres,Alexander Sulzer,placed on IR with lower body injury,torso,BUF
2013-03-01,Sabres,Jordan Leopold,placed on IR with upper body injury,torso,BUF
2013-03-10,Sabres,Jordan Leopold,activated from IR,activated from IR,BUF
2013-03-16,Sabres,Ville Leino,activated from IR,activated from IR,BUF
2013-09-30,Sabres,Marcus Foligno,placed on IR with shoulder injury,torso,BUF
2013-10-01,Sabres,Corey Tropp,placed on IR with jaw injury,head,BUF
2013-10-01,Sabres,Nikita Zadorov,placed on IR with finger injury,la,BUF
2013-10-03,Sabres,Ville Leino,placed on IR with cracked rib,torso,BUF
2013-10-08,Sabres,Henrik Tallinder,placed on IR with upper body injury,torso,BUF
2013-10-08,Sabres,Marcus Foligno,activated from IR,activated from IR,BUF
2013-10-14,Sabres,Henrik Tallinder,activated from IR,activated from IR,BUF
2013-10-19,Sabres,Cody McCormick,placed on IR with lower body injury,torso,BUF
2013-10-19,Sabres,Nikita Zadorov,activated from IR,activated from IR,BUF
2013-10-25,Sabres,Cody McCormick,activated from IR,activated from IR,BUF
2013-10-26,Sabres,Mike Weber,placed on IR with upper body injury,torso,BUF
2013-10-26,Sabres,Ville Leino,activated from IR,activated from IR,BUF
2013-11-02,Sabres,Corey Tropp,activated from IR,activated from IR,BUF
2013-11-19,Sabres,Mike Weber,activated from IR,activated from IR,BUF
2013-11-22,Sabres,Cody McCormick,placed on IR with upper body injury,torso,BUF
2013-12-04,Sabres,Cody McCormick,activated from IR,activated from IR,BUF
2013-12-17,Sabres,Cody McCormick,placed on IR with upper body injury,torso,BUF
2013-12-17,Sabres,Alexander Sulzer,activated from IR,activated from IR,BUF
2013-12-22,Sabres,Kevin Porter,placed on IR with lower body injury,torso,BUF
2014-01-01,Sabres,Cody Hodgson,placed on IR with left leg / left hand/finger (CBC) injury,la,BUF
2014-01-03,Sabres,Henrik Tallinder,placed on IR with upper body injury,torso,BUF
2014-01-09,Sabres,Drew Stafford,placed on IR with upper body injury,torso,BUF
2014-01-11,Sabres,Cody Hodgson,activated from IR,activated from IR,BUF
2014-01-15,Sabres,Drew Stafford,activated from IR,activated from IR,BUF
2014-01-21,Sabres,Matt D'Agostini,placed on IR with upper body injury,torso,BUF
2014-01-21,Sabres,Henrik Tallinder,activated from IR,activated from IR,BUF
2014-01-22,Sabres,Kevin Porter,activated from IR,activated from IR,BUF
2014-01-30,Sabres,Drew Stafford,placed on IR with upper body injury,torso,BUF
2014-01-30,Sabres,Matt D'Agostini,activated from IR,activated from IR,BUF
2014-02-03,Sabres,Matt Moulson,placed on IR with upper body injury,torso,BUF
2014-02-03,Sabres,Drew Stafford,activated from IR,activated from IR,BUF
2014-02-25,Sabres,Cody McCormick,activated from IR,activated from IR,BUF
2014-02-25,Sabres,Matt Moulson,activated from IR,activated from IR,BUF
2014-10-06,Sabres,Johan Larsson,placed on IR with concussion,head,BUF
2014-10-06,Sabres,Mark Pysyk,placed on IR with upper body injury,torso,BUF
2014-10-06,Sabres,Matt Hackett,placed on IR with torn ACL in knee,ul,BUF
2014-10-06,Sabres,Patrick Kaleta,placed on IR with facial fractures,torso,BUF
2014-10-09,Sabres,Johan Larsson,activated from IR,activated from IR,BUF
2014-10-16,Sabres,Jake McCabe,activated from IR,activated from IR,BUF
2014-10-16,Sabres,Mark Pysyk,activated from IR,activated from IR,BUF
2014-11-11,Sabres,Patrick Kaleta,activated from IR,activated from IR,BUF
2014-11-18,Sabres,Josh Gorges,placed on IR with knee injury,ul,BUF
2014-12-02,Sabres,Cody McCormick,placed on IR with concussion,head,BUF
2014-12-02,Sabres,Josh Gorges,activated from IR,activated from IR,BUF
2014-12-04,Sabres,Cody McCormick,activated from IR,activated from IR,BUF
2014-12-13,Sabres,Mike Weber,placed on IR with left knee injury (surgery),ul,BUF
2014-12-19,Sabres,Tyson Strachan,placed on IR with lower body injury,torso,BUF
2014-12-20,Sabres,Cody McCormick,placed on IR with lower body injury,torso,BUF
2014-12-21,Sabres,Torrey Mitchell,placed on IR with lower body injury,torso,BUF
2014-12-22,Sabres,Marcus Foligno,placed on IR with hand injury,la,BUF
2014-12-27,Sabres,Cody McCormick,activated from IR,activated from IR,BUF
2014-12-27,Sabres,Mike Weber,activated from IR,activated from IR,BUF
2014-12-29,Sabres,Tyler Myers,placed on IR with lower body injury,torso,BUF
2014-12-29,Sabres,Matt Hackett,activated from IR,activated from IR,BUF
2014-12-29,Sabres,Tyson Strachan,activated from IR,activated from IR,BUF
2015-01-05,Sabres,Tyler Myers,activated from IR,activated from IR,BUF
2015-01-11,Sabres,Cody McCormick,placed on IR with blood clot in leg (out for season),ll,BUF
2015-01-13,Sabres,Brian Gionta,placed on IR with upper body injury,torso,BUF
2015-01-13,Sabres,Torrey Mitchell,activated from IR,activated from IR,BUF
2015-01-27,Sabres,Brian Gionta,activated from IR,activated from IR,BUF
2015-02-08,Sabres,Marcus Foligno,activated from IR,activated from IR,BUF
2015-02-22,Sabres,Josh Gorges,placed on IR with lower body injury (out for season),torso,BUF
2015-02-22,Sabres,Patrick Kaleta,placed on IR with lower body injury,torso,BUF
2015-02-25,Sabres,Zemgus Girgensons,placed on IR with foot injury (out for season),ll,BUF
2015-03-26,Sabres,Patrick Kaleta,activated from IR,activated from IR,BUF
2015-10-06,Sabres,Josh Gorges,placed on IR with lower body injury,torso,BUF
2015-10-06,Sabres,Zach Bogosian,placed on IR with lower body injury,torso,BUF
2015-10-07,Sabres,Bobby Sanguinetti,placed on IR with upper body injury (CBS S T),torso,BUF
2015-10-07,Sabres,Brendan Guhle,placed on IR with upper body injury,torso,BUF
2015-10-08,Sabres,Josh Gorges,activated from IR,activated from IR,BUF
2015-10-09,Sabres,Robin Lehner,placed on IR with lower body injury,torso,BUF
2015-10-10,Sabres,Linus Ullmark,activated from IR,activated from IR,BUF
2015-10-13,Sabres,Brendan Guhle,activated from IR,activated from IR,BUF
2015-10-22,Sabres,Bobby Sanguinetti,activated from IR,activated from IR,BUF
2015-10-27,Sabres,Evander Kane,placed on IR with sprained MCL in knee,ul,BUF
2015-11-17,Sabres,Mike Weber,placed on IR with lower body injury,torso,BUF
2015-11-17,Sabres,Zach Bogosian,activated from IR,activated from IR,BUF
2015-11-19,Sabres,Evander Kane,activated from IR,activated from IR,BUF
2015-11-21,Sabres,Zemgus Girgensons,placed on IR with upper body injury,torso,BUF
2015-11-25,Sabres,Mark Pysyk,placed on IR with lower body injury,torso,BUF
2015-11-25,Sabres,Tyler Ennis,placed on IR with upper body injury (CBS S Y),torso,BUF
2015-11-25,Sabres,Zemgus Girgensons,activated from IR,activated from IR,BUF
2015-11-27,Sabres,Tyler Ennis,placed on IR with upper body injury (CBC),torso,BUF
2015-11-27,Sabres,Mike Weber,activated from IR,activated from IR,BUF
2015-12-19,Sabres,Tyler Ennis,activated from IR,activated from IR,BUF
2016-01-04,Sabres,Nicolas Deslauriers,placed on IR with lower body injury,torso,BUF
2016-01-05,Sabres,Tyler Ennis,placed on IR with upper body injury (out for season),torso,BUF
2016-01-08,Sabres,Mark Pysyk,activated from IR,activated from IR,BUF
2016-01-08,Sabres,Robin Lehner,activated from IR,activated from IR,BUF
2016-01-22,Sabres,Zemgus Girgensons,placed on IR with upper body injury,torso,BUF
2016-01-25,Sabres,Sam Reinhart,placed on IR with upper body injury,torso,BUF
2016-01-25,Sabres,Zemgus Girgensons,activated from IR,activated from IR,BUF
2016-02-02,Sabres,Nicolas Deslauriers,activated from IR,activated from IR,BUF
2016-02-03,Sabres,Sam Reinhart,activated from IR,activated from IR,BUF
2016-02-09,Sabres,Zemgus Girgensons,placed on IR with lower body injury,torso,BUF
2016-02-12,Sabres,Daniel Catenacci,placed on IR with head injury,head,BUF
2016-02-14,Sabres,Zemgus Girgensons,activated from IR,activated from IR,BUF
2016-02-19,Sabres,Daniel Catenacci,activated from IR,activated from IR,BUF
2016-02-21,Sabres,Ryan O'Reilly,placed on IR with lower body injury,torso,BUF
2016-03-16,Sabres,Ryan O'Reilly,activated from IR,activated from IR,BUF
2016-10-16,Sabres,Jack Eichel,placed on IR with ankle injury,ll,BUF
2016-11-01,Sabres,Evander Kane,placed on IR with cracked ribs,torso,BUF
2016-11-09,Sabres,Nicolas Deslauriers,placed on IR with knee injury,ul,BUF
2016-11-09,Sabres,Evander Kane,activated from IR,activated from IR,BUF
2016-11-11,Sabres,Tyler Ennis,placed on IR with groin injury,ul,BUF
2016-11-29,Sabres,Jack Eichel,activated from IR,activated from IR,BUF
2016-12-05,Sabres,Dmitry Kulikov,placed on IR with back injury,torso,BUF
2016-12-09,Sabres,Dmitry Kulikov,activated from IR,activated from IR,BUF
2016-12-09,Sabres,Nicolas Deslauriers,activated from IR,activated from IR,BUF
2016-12-13,Sabres,Taylor Fedun,placed on IR with shoulder injury,torso,BUF
2016-12-17,Sabres,Taylor Fedun,activated from IR,activated from IR,BUF
2017-01-03,Sabres,Ryan O'Reilly,placed on IR with appendectomy,torso,BUF
2017-01-05,Sabres,Dmitry Kulikov,placed on IR with lower body injury,torso,BUF
2017-01-10,Sabres,Johan Larsson,placed on IR with dislocated wrist,la,BUF
